Date,서울 총거래물량,서울 총거래금액,서울 평균단가,서울 평균단가 편차,부산 총거래물량,부산 총거래금액,부산 평균단가,부산 평균단가 편차,대구 총거래물량,대구 총거래금액,대구 평균단가,대구 평균단가 편차,대전 총거래물량,대전 총거래금액,대전 평균단가,대전 평균단가 편차,광주 총거래물량,광주 총거래금액,광주 평균단가,광주 평균단가 편차,전국 평균단가,전국 평균단가 편차
2020-01-01,2780377.6500000004,9830108400,3535.5299306193165,22452.54219197693,314022.5,1158346710,3688.737940752653,25041.342429759152,810553.0,2032616500,2507.6910454960994,18213.930880555385,430426.0,1337955110,3108.4439834024897,20480.40870791649,478129.0,1644281360,3438.991067264274,22661.976440832037,3324.666247838388,-1372.6737629937745
2020-02-01,2720669.88,9024401700,3316.9778392959606,22671.09428330029,331341.0,1143201466,3450.2264011999723,25279.853969311836,827334.0,1977870900,2390.655889882442,18330.966036169044,406261.0,1228049490,3022.809203935401,20729.659259311346,451781.0,1441064160,3189.7405158694146,22911.22699222689,3127.1644244516506,-1175.1719396070373
2020-03-01,3739541.28,9722242800,2599.84903816866,23388.223084427587,435282.4,1220358529,2803.601820335488,25926.47855017632,978456.0,1935109400,1977.7173424252087,18743.904583626278,520843.0,1246237300,2392.7312069088,21349.93107859884,587348.0,1509172300,2569.468696581924,23531.498811514382,2496.7170059478744,-544.7245211032612
2020-04-01,5703989.949999999,7969557560,1397.189972257928,24590.88215033832,607195.5,995696080,1639.8278313986186,27090.252539113186,1427859.0,1686934100,1181.4430556518537,19540.17887039963,615618.0,884077957,1436.082046009051,22478.016490993952,800667.0,1154068030,1441.3832841868093,24659.584223909496,1386.114371558743,565.8781132858703
2020-05-01,5487463.43,7107073600,1295.1473282073428,24692.924794388902,644394.2,875168986,1358.1267273976086,27371.9536431142,1371680.0,1533032100,1117.6310072320075,19603.99091881948,631163.0,818889984,1297.4302739545883,22684.5411481131,759615.0,938017136,1234.8586270676592,24866.10888102865,1267.3467273839035,684.6457574607098
2020-06-01,5435012.79,6912510040,1271.847980324624,24716.224142271625,556802.2,827896497,1486.8772016346202,27243.203168877186,1417036.0,1587006500,1119.9479053460886,19601.674020705395,623977.0,715574424,1146.7961543454326,22566.38325024098,715343.0,967870900,1353.0165249397842,24747.950983156523,1258.6469072891316,693.3455775554817
2020-07-01,4369081.64,6969965000,1595.2929183534325,24392.779204242812,517931.6,935421697,1806.071877058669,26924.008493453137,1249719.0,1564919100,1252.216778331769,19469.405147719717,554574.0,806098452,1453.5453375022992,22294.514574937108,545036.0,885620930,1624.8852002436536,24476.08230785265,1542.495477521804,409.49700732280917
2020-08-01,3399364.19,10140301900,2982.999564986298,23005.07255760995,419775.4,1354083040,3225.7322368104465,25504.34813370136,1036770.0,2592479800,2500.535123508589,18221.086802542894,401571.0,1112157900,2769.5174701360406,20882.55732989888,456631.2,1386717010,3036.8424452818817,23064.125062814423,2902.592784240925,-950.6002993963118
2020-09-01,4424172.16,13495784500,3050.4654909270075,22937.60663166924,425793.8000000001,1461229576,3431.77748478254,25298.302885729267,1069058.0,2770102200,2591.1617517478003,18130.460174303684,463269.0,1232979303,2661.4759524164147,20677.475727029432,448876.5,1455223520,3241.924048151329,22859.043459944976,2988.554041667706,-1036.5615568230926
2020-10-01,5212849.56,6208943600,1191.0843634628122,24796.98775913344,509824.0,787313146,1544.2841961147376,27185.796174397063,1129309.0,1136481000,1006.3507861887224,19715.27113986276,485244.0,526468105,1084.9554141833798,22650.365103106466,549347.0,697140390,1269.0346720742991,24831.93283602201,1186.3639094745222,765.6285753700911
